,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Class
987,-0.40245509147644043,1.3620696067810059,0.5932421684265137,0.6642273664474487,-0.3118377923965454,-2.1144866943359375,-1.3160697221755981,0.9477424621582031,1.0
1024,0.6754610538482666,0.34032487869262695,1.12721848487854,1.2890311479568481,0.8564488887786865,-0.7299833297729492,-0.5453593730926514,0.637190580368042,1.0
658,-0.6634073257446289,0.9402158260345459,-0.02370142936706543,1.4254454374313354,0.36281824111938477,-1.5302205085754395,-0.9164977073669434,0.8957266807556152,1.0
228,-0.04898428916931152,0.9077129364013672,-1.1077429056167603,1.6444735527038574,1.1267080307006836,-0.7329292297363281,0.4662904739379883,2.1742641925811768,1.0
749,-0.10809826850891113,2.367065668106079,-0.4480588436126709,0.500281035900116,0.8387660980224609,-1.33364737033844,0.3615131378173828,1.6740477085113525,1.0
852,-0.36386585235595703,-0.18553447723388672,0.05683183670043945,2.042538642883301,0.7231142520904541,-1.131009578704834,-0.8008630275726318,-1.0898776054382324,1.0
839,-0.4916248321533203,0.4726574420928955,0.6109552383422852,2.430577516555786,0.3040597438812256,-1.4566909074783325,-0.5287160873413086,2.0441057682037354,1.0
310,-0.42514753341674805,0.3036017417907715,-0.47386837005615234,0.17313295602798462,-0.023528099060058594,-1.201568603515625,-0.40006351470947266,0.7310094833374023,1.0
367,0.3202798366546631,1.3729362487792969,-0.08817195892333984,1.359682559967041,1.089444637298584,-0.9752193689346313,-0.11543154716491699,1.1207962036132812,1.0
908,-0.979427695274353,0.5884056091308594,-0.7009720802307129,0.7617219686508179,0.10540580749511719,-1.5740041732788086,-0.7053618431091309,-0.14461660385131836,1.0
237,-1.5626057386398315,0.6692154407501221,-0.43842267990112305,1.9592251777648926,0.47684621810913086,-1.3915122747421265,-0.3000016212463379,0.3399159908294678,1.0
744,0.01695704460144043,0.5940952301025391,-0.5180745124816895,0.9024337530136108,0.6175882816314697,-1.2964264154434204,-1.1931202411651611,-0.876246452331543,1.0
